Name,Keywords,Result
TensorFlow: Advanced Techniques,"advanced techniques, tensorflow","['Advanced Techniques', 'Advance Techniques Hair Care By Avon', 'What are Advanced Techniques? - Maharishi School', 'Advanced Techniques for Counseling and Psychotherapy', 'Advanced Techniques for the Modern Drummer', 'Advanced Techniques', 'ADVANCED TECHNIQUE definition and meaning', 'TensorFlow: Advanced Techniques Specialization', 'Advanced technique', 'TensorFlow']"
Global Procurement and Sourcing,"global procurement, sourcing","['Homepage - Global Procurement Enel', 'Managing Global Procurement: Risks & Benefits to the Supply ...', 'Global Procurement - What is it? Definition', 'Examples and More', 'Global IT Procurement', 'Global Procurement Solutions', 'Inc. ï¿½ï¿½ï¿½ Info ï¿½ï¿½ï¿½ Global ...', 'Top 10 Global Procurement Companies', 'Global Procurement Initiative', 'Global Procurement Initiative: Understanding Best Value']"
Foundations of Management,"management, foundations","['Management', 'What Is Management? Definition', 'Types', 'Skills', 'and Careers', 'Management Definition & Meaning', 'MANAGEMENT Definition & Meaning', 'Management (2008)', 'What Is Management? Definitions', 'Functions and Styles']"
Meta Marketing Analytics,meta marketing analytics,"['Meta Marketing Analytics Professional Certificate', 'Earn a Marketing Analytics Professional Certificate through ...', 'Marketing Analyst', 'Marketing Analytics with Meta', 'Meta Marketing Analytics', 'Meta Marketing Analyst Professional Certificate', 'Free Course: Marketing Analytics with Meta from Facebook', 'Meta Marketing Analytics Professional Certificate']"
Data Science: Foundations using R,"foundations using r, data science","['Data Science: Foundations using R Specialization', 'Data Science: Foundations using R', 'Data Science: R Basics - Harvard Online Courses', 'Other Resources - Using R and Python', 'Foundations in R | Research and Innovation', 'Foundations of R for Data Analysis Certificate', 'R Programming Course by Johns Hopkins University', 'Data Science Foundations with R - Jupyter Notebooks', 'Foundations of Data Analysis - Part 1: Statistics Using R', 'Foundations and Applications of Statistics Using R (2nd ...']"
People and Soft Skills for Professional and Personal Success,"soft skills, personal success, professional, people","['11 Essential Soft Skills In 2024 (With Examples)', 'What are soft skills? Top 15 Soft Skills examples', 'What Are Soft Skills? (Definition', 'Examples and Resume ...', 'Soft skills 101: definition + 50 examples', 'What Are Soft Skills? Definition', 'Importance', 'and Examples', 'What Are Soft Skills? (With 50+ Examples)', 'List of Top Soft Skills Employers Value With Examples']"
Python 3 Programming,python 3 programming,"['Python 3 Programming Specialization [5 courses] (UMich)', 'The Python Tutorial ï¿½ï¿½ï¿½ Python 3.12.3 documentation', 'Welcome to Python.org', 'Python 3 Programming - Michigan Online', 'Learn Python 3', 'Python 3 basics', 'Python for Everybody vs Python 3 Programming Coursera', 'Python 3 Programming Tutorials for Beginners', 'Programming in Python 3: A Complete Introduction to t']"
Algorithms,algorithms,"['Algorithm', 'What is Algorithm | Introduction to Algorithms', 'What is an algorithm?', 'Algorithms Tutorial', 'Algorithms', '4th Edition by Robert Sedgewick and Kevin Wayne', 'Algorithm Definition & Meaning', 'Algorithms | Computer science theory', 'What Is an Algorithm? | Definition & Examples', 'Computer Science: Algorithms']"
Human Resource Management: HR for People Managers,"human resource management, people managers, hr","['What is Human Resource Management (HRM)?', 'HRM | What is Human Resource Management?', 'Welcome to SHRM | The Voice of All Things Work', 'Human resource management', 'What Is Human Resource Management? Definition ...', '1.1 What Is Human Resources?', 'Human Resources Managers : Occupational Outlook ...', '7 Human Resource Management Basics for Every HR ...', 'Human Resource Management', 'What Is Human Resource Management? | Maryville Online']"
Achieving Personal and Professional Success,"professional success, achieving personal",['']
The Business of Health Care,"health care, business","['HealthCare.gov: Still need health insurance?', 'Health Care - Healthy People 2030', 'Health care', 'CMS: Home - Centers for Medicare & Medicaid Services', 'Welcome to Medicare | Medicare', 'Texas Health and Human Services', 'Health - Texas Health and Human Services - Texas.gov', 'Small Business Administration', 'Business Insider', 'business.com: Expert Business Advice']"
Entrepreneurship: Growing Your Business,"growing, entrepreneurship, business","['Growing Definition & Meaning', 'GROWING Definition & Meaning', 'GROWING Synonyms: 135 Similar and Opposite Words', 'GROWING definition in American English', ""What's Growing?"", 'GROWING | definition in the Cambridge English Dictionary', 'Growing - Definition', 'Meaning & Synonyms', 'GROW Definition & Meaning', 'GROW | definition in the Cambridge English Dictionary']"
Agile Development,agile development,"['Agile software development', 'What is Agile? | Agile 101', 'What is Agile Software Development (Agile Methodologies)?', ""What Is Agile Methodology? (A Beginner's Guide) [2024]"", 'What is Agile? - What is Scrum?', 'What is Agile Development? | IxDF', 'Agile Software Development - Software Engineering', 'What is Agile?']"
"Influencing: Storytelling, Change Management and Governance","change management, storytelling, influencing, governance","['5 Steps in the Change Management Process - HBS Online', 'Change Management | What is Change Management', 'The Hard Side of Change Management', 'What Is Change Management? Benefits', 'Principles (2024)', 'The Four Principles of Change Management', 'The Basics of Managing Change', 'What is Change Management? Organizational', 'Process ...', 'Change management']"
Mergers and Acquisitions,"mergers, acquisitions","['Merger: Definition', 'How It Works With Types and Examples', 'Mergers', 'Mergers and acquisitions', 'Mergers and Acquisitions (M&A): Types', 'Structures', '...', 'mergers & acquisitions | Wex | US Law', 'Merge and acquire businesses', 'The different types and methods of mergers and acquisitions']"
Google Project Management,google project management,"['Project Management Certificate & Training', 'Google Project Management: Professional Certificate', 'Tips for project management - Google Workspace Learning ...', 'Task management - Google Workspace Marketplace', 'Will Google Project Management Certificate Actually Lead ...', 'How I passed the Google Project Management Certificate ...', 'Purdue Global + Google Project Management Certificate', 'Google Project Management Professional Certificate', 'Make $550 a Day with This FREE Google Project ...', 'Google Project Management Certificate Online']"
Scrum Master,scrum master,"['What is a Scrum Master?', 'What Is a Scrum Master (and How Do I Become One)?', 'What is a ScrumMaster and What Do They Do?', 'What is a Scrum Master? | Job Description and ...', 'What Is a Scrum Master? What It Takes to be a Certified ...', 'What is a Scrum master? | Definition from TechTarget', 'Certified ScrumMaster (CSM) Certification', 'What is a Scrum master? A key role for project success']"
Genomic Data Science,genomic data science,"['Genomic Data Science Specialization', 'Genomic Data Science Fact Sheet', 'What is Genomic Data?', 'Genomics Data Analysis - Harvard Online Courses', 'My career in genomics: data science', 'Genomic Data Scientist Jobs', 'Employment', '294 Genomic Data Scientist jobs in United States (9 new)', 'Computational Genomics and Data Science Program', 'Coursera & Johns Hopkins']"
Medical Billing and Coding Fundamentals,"medical billing, coding fundamentals","['What is Medical Billing?', 'Medical billing', '3.01: Introduction to Medical Billing', 'Medical bill rights', '10 Steps in the Medical Billing Process', 'Medical Billing Explained', 'Medical Billing Help: Understanding Your Charges | AAP', 'Medical Billing Services in Beckley', 'West Virginia', 'Medical bill guides and resources']"
Practical Data Science on the AWS Cloud,"practical data science, aws cloud",['']
Strategic Leadership and Management,"strategic leadership, management","['Strategic Leadership: The Essential Skills', 'What is Strategic Leadership? And What Does It Looks Like?', 'What is strategic leadership? | Definition from TechTarget', '10 principles of strategic leadership', 'Strategic Leadership: Essential Skills', 'Principles', 'and Tips', 'How to Become a Strategic Leader - Ccl.org', 'What Is Strategic Leadership?', 'Effective Strategic Leadership: The Complete Guide to ...']"
Career Success,career success,"['Career Success: How to Define Career Success in 6 Steps', 'A Definition Of Career Success And Why So Few People ...', 'Raise the Bar - Unlocking Career Success', 'About - Raise the Bar - Unlocking Career Success', 'How To Define Career Success?', 'ASC Career Success: Home', 'Career Success Schools', '21 Tips To Help You Find Success in a Career']"
U.S. Federal Taxation,"federal taxation, u","['Internal Revenue Service | An official website of the United ...', 'Federal Taxation in America: Brownlee', 'W. Elliot', 'U.S. Federal Taxation Specialization [4 courses] (UIUC)', 'File federal taxes', 'Taxes | USAGov', '2024 Tax Brackets and Federal Income Tax Rates', 'Taxation in the United States', 'U', 'Stream Gareth Emery feat. Bo Bruce - U by garethemery']"
Project Management & Other Tools for Career Development,"project management, career development, tools","['What is Project Management', 'Approaches', 'and ...', 'PMI: Project Management Institute', 'Project Manager Job Description - Purdue University', 'Project Management Basics - Wrike', 'The 5 Phases of Project Management | Lucidspark', 'What Are Project Objectives in Project Management? - Wrike', 'What Is Project Management and What Are the Types?', 'Project Management: What Is Project Management?']"
Project Management Principles and Practices,"project management principles, practices","['Principles of Project Management', 'What Are the Principles of Project Management?', '10 Essential Project Management Principles', '12 Project Management Principles & Concepts', '5 Universal Project Management Principles', '12 Basic Project Management Principles for Absolute ...', '12 Key Project Management Principles & How to Use Them', '12 Principles of Project Management', 'Practice Definition & Meaning', 'PRACTICES Synonyms: 77 Similar Words']"
Google Professional Workspace Administrator,google professional workspace administrator,"['Professional Workspace Administrator Certification | Learn', 'Google Professional Workspace Administrator ...', 'Professional Workspace Administrator Exam Guide | Learn', 'Google Workspace Administrator Learning Path', 'Benefits of Google Workspace Administrator certification', 'About administrator roles - Google Workspace Admin Help', 'Professional Google Workspace Administrator Courses', 'Google Cloud Professional Workspace Admin Certification', 'Introduction to Google Workspace Administration']"
Fintech: Foundations & Applications of Financial Technology,"financial technology, foundations, fintech, applications","['Financial Technology (Fintech): Its Uses and Impact on Our ...', ""What is Financial Technology (FinTech)? A Beginner's Guide"", 'Financial Technology - Undergraduate Programs', 'What is Fintech? Definitions', 'Careers', 'and Industry News', 'What is fintech? 6 main types of fintech and how they work', 'FT Partners | Financial Technology Investment Bank San ...', 'Financial Technology | U.S. GAO', 'Fintech']"
MATLAB Programming for Engineers and Scientists,"matlab programming, scientists, engineers","['Programming with MATLAB', 'Programming - MATLAB & Simulink', 'MATLAB Programming Techniques', 'Matlab', 'MATLAB', 'MATLAB Tutorial', 'MATLAB Basics Tutorial', 'Introduction to Programming with MATLAB', 'Scientist', '10 types of scientist']"
Risk Management,risk management,"['What is Risk Management?', 'Managing Risks: A New Framework', 'Risk management', 'Risk Management - Overview', 'Importance and Processes', 'What is risk management?', 'What Does Risk Management Involve? ï¿½ï¿½ï¿½ RiskOptics', 'What is Risk Management and Why is It Important?', 'What Is Risk Management & Why Is It Important? - HBS Online', 'What Is Risk Management in Finance']"
Organizational Leadership,organizational leadership,"['What is Organizational Leadership?', ""Organizational Leadership: What It Is & Why It's Important"", 'What Is Organizational Leadership?', 'What Is Organizational Leadership?', 'Organizational Leadership: Everything You Need To Know', 'Management 101: Understanding Organizational Leadership', 'What Can You Do With an Organizational Leadership Degree', 'What Is Organizational Leadership and Why Is It Important?', 'What Is Organizational Leadership & Why It Matters I WGU']"
Financial Engineering and Risk Management,"risk management, financial engineering","['What is Risk Management?', 'Managing Risks: A New Framework', 'Risk management', 'Risk Management - Overview', 'Importance and Processes', 'What is risk management?', 'What Does Risk Management Involve? ï¿½ï¿½ï¿½ RiskOptics', 'What is Risk Management and Why is It Important?', 'What Is Risk Management & Why Is It Important? - HBS Online', 'What Is Risk Management in Finance']"
Methods and Statistics in Social Sciences,"social sciences, statistics, methods","['Social science', 'Social science | History', 'Disciplines', 'Future Development ...', 'The University of Chicago Division of the Social Sciences', 'Social Sciences | An Open Access Journal from MDPI', 'Social Sciences Majors and Degrees - BigFuture', 'What Are the Social Sciences?', 'Social Sciences', 'Social Sciences']"
UCI Project Management,uci project management,"['Project Management | UCI DCE', 'UCI Project Management Professional Certificate', 'ACP Project Management', 'Project Management Program - UCI DCE', 'Project Management Fundamentals Training', 'UCI Project Management from University of California', 'Irvine', 'Continuing Education University of California Certificate ...', 'Project Management Principles and Practices Specialization', 'Project Management Principles and Practices']"
Project Management,project management,"['What is Project Management', 'Approaches', 'and ...', 'PMI: Project Management Institute', 'Project Manager Job Description - Purdue University', 'Project Management Basics - Wrike', 'The 5 Phases of Project Management | Lucidspark', 'What Are Project Objectives in Project Management? - Wrike', 'What Is Project Management and What Are the Types?', 'Project Management: What Is Project Management?']"
Modern and Contemporary Art and Design,"contemporary art, modern, design","['Contemporary Art Daily', 'Contemporary art', 'About Contemporary Art (Education at the Getty)', 'Museum of Contemporary Art Chicago: MCA - Home', 'ICA Boston: Home', 'Contemporary art', 'Contemporary Art - For Sale on Artsy', 'MCA Denver | MCA Denver', 'Scottsdale Museum of Contemporary Art (SMoCA)', 'Home | The Modern in New York']"
Scrum Master Certification,scrum master certification,"['Certified ScrumMaster (CSM) Certification', 'Professional Scrum Masterï¿½ï¿½ï¿½ Certifications', 'Agile and Scrum Training & Certification', 'Disciplined Agile ï¿½ï¿½ Scrum Master (DASM) Certification', '7 In-Demand Scrum Master Certifications 2024', 'Scrum Master Certifications: 6 Options To Consider', 'Plus ...', 'Certified Scrum Master (CSM) Certification - (Top-Rated ï¿½ï¿½ï¿½)', 'Scrum Master Certifications | CSM', 'A-CSM']"
Microsoft Azure Fundamentals AZ-900 Exam Prep,"microsoft azure fundamentals az, 900 exam prep","['Microsoft Certified: Azure Fundamentals - Certifications', 'Course AZ-900T00-A: Microsoft Azure Fundamentals', 'Microsoft Azure Fundamentals: Describe cloud concepts', 'Microsoft Azure Fundamentals AZ-900 Exam Prep ...', 'Study guide for Exam AZ-900: Microsoft Azure Fundamentals', 'Microsoft Azure Fundamentals (AZ-900) Full Course', 'AZ-900: Microsoft Azure Fundamentals Certification', 'Microsoft Certified: Azure Fundamentals', 'Microsoft Azure Fundamentals (AZ-900T00)', 'Study guide for Exam MS-900: Microsoft 365 Fundamentals']"
Getting started with Google Workspace,"google workspace, getting started","['Google Workspace: Secure Online Productivity ...', 'Google Workspace', 'Google Workspace Admin Help', 'Learning Tools & Educational Solutions', 'Google Workspace Status Dashboard', 'Sign in - Google Accounts', 'Jeremy Camp - Getting Started (Lyric Video)', 'Get started Definition & Meaning', 'Getting started', 'Sam Fender - Getting Started (Official Video)']"
Business Statistics and Analysis,"business statistics, analysis","['What Is Business Statistics', 'Business Statistics For Dummies Cheat Sheet', 'Business Statistics Definition', 'Uses & Importance - Lesson', 'What Are Business Statistics?', 'Small Business Statistics Of 2024', 'Statistics of U.S. Businesses (SUSB)', 'Introduction to Business Statistics NSU', 'BUS204: Business Statistics', 'Analysis Definition & Meaning']"
"Product Ideation, Design, and Management","product ideation, management, design","['The Complete Guide to Product Ideation and Discovery', 'What is Product Ideation? Definition', 'Process and Best ...', 'How Product Managers Use Product Ideation to Build ...', 'The Product Ideation Process Explained', 'Techniques for Product Ideation: Generation', 'Selection ...', 'Product Ideation: Model', 'Process & 9 Techniques That Work', 'Product Ideation Process: Stages']"
Pharmacy Technician Fundamentals,pharmacy technician fundamentals,"['Pharmacy Technician Fundamentals Specialization', 'Pharmacy Technician Essentials Course by MedCerts', 'Pharmacy Technician Fundamentals from MedCerts', 'Pharmacy Technician Skillsï¿½ï¿½ï¿½Medication', 'Administrative', '...', 'Fundamentals of Managed Care Pharmacy', ""Instructor's Manual Fundamentals of Pharmacy Practice ..."", 'Pharmacy Technician BASICS', 'Pharmacy Technician - Explore Health Care Careers']"
Clinical Trials Operations,clinical trials operations,"['Clinical Trials Operations Specialization', 'Clinical Trials Operations (CTO)', 'ClinOps (Clinical Operations) - Vial', 'Office of Clinical Trials Operations & Management', 'A Guide To Clinical Operations', 'Global Clinical Trial Operations', 'Clinical Research Operations Program - Stanford Medicine', 'Clinical Trial Operations - Full Service Clinical Trial CRO', ""Clinical Operations: What It Is and Why It's Important"", 'Clinical Research Operations | About Us | ICCTR']"
Algorithms for Battery Management Systems,"battery management systems, algorithms","['What is a Battery Management System (BMS)?', 'Battery management systems (BMS)', 'Battery Management Systems', 'Battery management system', 'Battery Management System Tutorial', 'Battery Management Systems', 'Battery Management Systems', 'Understanding Battery Management System (BMS)', 'Battery Management System Lithium Ion', 'Algorithm']"
The Business of Music Production,"music production, business","['Music Production: Everything You Need to Get Started', 'What Does a Music Producer Do? - Berklee Online', 'Music Production: Guide to Producing & Releasing Tracks', ""A Beginner's Guide To Music Production"", 'Music Production For Beginners (Step By Step Masterclass)', 'Music Production Specialization [4 courses] (Berklee)', 'Soundtrap - Make music online', 'Top Music Production Courses Online - Updated [May 2024]', ""Music Production and Engineering Bachelor's Degree"", 'Small Business Administration']"
Six Sigma Yellow Belt,six sigma yellow belt,"['Lean Six Sigma Yellow Belt Certification', 'Six Sigma Yellow Belt Certification CSSYB', 'Lean Six Sigma Yellow Belt Certification', 'Lean Six Sigma Yellow Belt Training & Certification', 'Six Sigma Yellow Belt Training & Certification | Lean 6 Sigma', 'Six Sigma Yellow Belt Specialization [4 courses] (USG)', 'Lean Six Sigma Yellow Belt Certification & Training Online', 'What is a Lean Six Sigma Yellow Belt?', 'Lean Six Sigma Yellow Belt Certificate']"
Creative Writing,creative writing,"['Creative Writing Introduction - Purdue OWL', 'Creative Writing 101: Everything You Need to Get Started', 'Creative writing', 'Creative Writing Specialization [5 courses] (Wesleyan)', 'A Look Into Creative Writing', 'Creative Writing | Definition', 'Techniques & Examples', 'What is Creative Writing? The Medium of Self-Expression', 'Creative Writing - Stanford Continuing Studies', 'Creative Writing - Lewis Center for the Arts - Princeton University']"
Data Visualization with Tableau,"data visualization, tableau","['What Is Data Visualization? Definition & Examples', 'Data Visualizations', 'Charts', 'and Graphs', 'The Data Visualisation Catalogue', 'Data Visualization: Definition', 'Benefits', 'and Examples', 'A Complete Overview of the Best Data Visualization Tools', 'Learn Data Visualization']"
Microsoft Azure Data Scientist Associate (DP-100),"microsoft azure data scientist associate, dp, 100","['Microsoft Certified: Azure Data Scientist Associate', 'Microsoft Azure Data Scientist Associate (DP-100) ...', 'Training for Data Scientists', 'DP-100 Microsoft Azure Data Scientist Complete Exam Prep', 'Path to Azure data scientist expert certification', 'Azure Data Scientist Associate Certification Guide: A hands ...', 'How do I verify the certification Azure Data Scientist ...', 'The 12 Best Azure Certifications For 2024: Empower Your ...', 'Azure Data scientist Associate certification and how does it ...', 'D.P. (TV Series 2021']"
Business Value and Project Management,"project management, business value","['What is Project Management', 'Approaches', 'and ...', 'PMI: Project Management Institute', 'Project Manager Job Description - Purdue University', 'Project Management Basics - Wrike', 'The 5 Phases of Project Management | Lucidspark', 'What Are Project Objectives in Project Management? - Wrike', 'What Is Project Management and What Are the Types?', 'Project Management: What Is Project Management?']"
Creating Business Value with Data and Looker,"creating business value, looker, data","['How Do Businesses Create Value for Stakeholders?', 'Five Ways To Create Business Value Like A High- ...', '10 Tips To Create Value in Business', 'Value Creation Definition', 'Model and Examples in Business', 'How Does Value Creation Lead to Business Success?', 'How do I Create Business Value?', 'Creating Business Value Through IT', '3 Ways to Create Value in Your Company', 'Looker business intelligence platform embedded analytics']"
IBM Mainframe Developer,ibm mainframe developer,"['IBM Mainframe Developer Professional Certificate', 'Mainframes - Resources and Tools', '20000+ Ibm Mainframe Developer jobs in United States ...', 'IBM Developer for z/OS', 'Ibm Mainframe Developer Jobs', 'Roles in the mainframe world', 'Careers in Mainframe Development', 'Online Course: IBM Mainframe Developer from IBM', '200+ IBM Mainframe Jobs', 'Employment April 28']"
Intellectual Property Law,intellectual property law,"['Intellectual Property Law', 'What is Intellectual Property?', 'Explore the Four Areas of Intellectual Property Law', 'LII Wex intellectual property - Legal Information Institute', 'Intellectual property rights: An overview and implications in ...', 'Best Intellectual Property Law Programs', 'Intellectual property', 'Intellectual Property and Innovation Law Concentration', 'Intellectual Property Enforcement - United States ...']"
Java Programming and Software Engineering Fundamentals,"software engineering fundamentals, java programming","['How to Learn the Fundamentals of Software Engineering', 'Introduction to Software Engineering', 'Applied Software Engineering Fundamentals Specialization', 'Are fundamentals important for software engineers?', 'IBM: Software Engineering Basics for Everyone', 'Introduction to Software Engineering Course by IBM', 'Fundamentals of Software Engineering', 'Software Engineering Fundamentals - Ali Behforooz', 'Software Engineering: What It is', 'Definition']"
Business Data Management and Communication,"business data management, communication","['What Is Data Management and Why Is It Important?', 'What Is Data Management', 'and How Do Businesses Use It?', 'What Is Data Management? Importance & Challenges', 'How to Manage Data for a Small Business', 'What Is Data Management?', 'What is Data Management?', 'What Is Data Management? A Complete Guide With ...', 'What Is Data Management? Benefits', 'Types and Best ...']"
Management Consulting,management consulting,"['What Is Management Consulting?', 'What Is Management Consulting?', 'Management Consulting', 'How to Become a Management Consultant (and What Is ...', 'Management Analysts : Occupational Outlook Handbook', 'Consulting Is More Than Giving Advice', 'McKinsey & Company: Global management consulting', 'Boston Consulting Group: Strategic Management Consulting', 'This Is What It Takes To Become A Successful ...']"
User Experience Research and Design,"user experience research, design","['Google User Experience Research - Discover How UX ...', 'What is UX Research', 'Why it Matters', 'and Key Methods', 'What is UX Research and What Does a UX Researcher Do?', 'What is UX Research? ï¿½ï¿½ï¿½ updated 2024 | IxDF', 'What Is a UX Researcher? How to Get the Job', ""What does a UX researcher's work day look like?"", 'When to Use Which User-Experience Research Methods', 'User Experience Research and Design Specialization']"
"Effective Communication: Writing, Design, and Presentation","effective communication, writing, presentation, design","['Effective Communication', '8 Ways You Can Improve Your Communication Skills', '10 Tips For Effective Communication In The Workplace', 'IS-242.C: Effective Communication', '18 effective strategies to improve your communication skills', 'What Is Effective Communication? [With Benefits and Tips]', '12 Tips for Effective Communication in the Workplace [2024]', 'What Is Effective Communication? (With Benefits and Tips)', 'Writing.Com', 'Writing | History']"
Self-Driving Cars,"driving cars, self","['Self-driving car', 'Waymo - Self-Driving Cars - Autonomous Vehicles - Ride-Hail', 'The main reason why self-driving cars are not ready for ...', 'Self-Driving Cars: Everything You Need To Know', 'What is an Autonomous Car? ï¿½ï¿½ï¿½ How Self-Driving Cars Work', 'Dude', ""where's my self-driving car?"", 'Autopilot and Full Self-Driving Capability | Tesla Support', 'DrivingCars', 'Credit Builder: Build Credit & Add to Your Savings with Self']"
Good with Words: Writing and Editing,"writing, words, good, editing","['Writing.Com', 'Writing | History', 'Styles', 'Types', 'Importance', '& Facts', 'Writing Guide: Tips to Hone Your Writing Skills', 'Basics: Writing', 'The Writing Process | Wingspan: Center for Learning and ...', 'Purdue OWL - Purdue University']"
Google Data Analytics,google data analytics,"['Google Data Analytics Professional Certificate', 'Data Analytics Certificate & Training', 'Google Analytics Academy', 'Data Analytics Certificate & Training', 'Data Analytics | Google Cloud Blog', 'Analytics Tools & Solutions for Your Business', 'Has anyone landed a job after getting Google Data ...', 'AI for Data Analytics', 'Google Advanced Data Analytics Professional Certificate']"
Anatomy,anatomy,"['Anatomy | MedlinePlus', 'Anatomy | Definition', 'History', '& Biology', 'Anatomy', 'Anatomy: What is it', 'and why is it important?', 'Human anatomy: Definition and overview of the organs', 'Anatomy Gallery', 'e-Anatomy']"
Software Product Management,software product management,"['Software Product Management Specialization', 'Software product management', 'Product Manager: The role and best practices for beginners', 'Software Product Management Specialization', 'What is Agile Product Management?', 'So', 'What Exactly is Software Product Management?', 'Software Product Manager Responsibilities', 'Tech product management best practices', 'Introduction to Software Product Management']"
Financial Management,financial management,"['Financial Management Explained: Scope', 'Objectives & ...', 'What Is Finance Management?', 'Financial Managers : Occupational Outlook Handbook', 'Financial Management - Wiley Online Library', 'Financial Management - eCornell - Cornell University', 'Financial Management Association', 'Financial management', 'Financial Management']"
FPGA Design for Embedded Systems,"fpga design, embedded systems","['FPGA Design: A Comprehensive Guide to Mastering Field- ...', 'Introduction to FPGA design', 'Field-programmable gate array', 'Programming an FPGA: An Introduction to How It Works', 'The Art of FPGA Design', ""is FPGA design's good path to follow?"", 'FPGA Design for Embedded Systems Specialization', 'What is an Embedded System?', 'Embedded Systems: Meanings', 'Components']"
Introduction to Discrete Mathematics for Computer Science,"discrete mathematics, computer science, introduction","['Discrete mathematics', 'Discrete Mathematics | Brilliant Math & Science Wiki', 'Discrete Mathematics Tutorial', 'Discrete Mathematics | Journal', 'Discrete Math (Full Course: Sets', 'Logic', 'Proofs', 'Probability ...', 'Introduction to Discrete Mathematics for Computer Science ...', 'Discrete Mathematics - An Open Introduction']"
Customer Experiences with Contact Center AI - Dialogflow CX,"contact center ai, dialogflow cx, customer experiences","['Contact Center AI', 'Contact Center AI (CCAI) Platform', 'Contact Center AI Explained: Tips', 'Benefits', 'And More', 'Contact Center AI (Artificial Intelligence)', 'Contact Center AI: What Is It & Do You Really Need It?', 'Contact Center AI: [Benefits + How to Implement]', 'What Is Contact Center AI Artificial Intelligence - NICE', 'Contact Center AI | Intelligent Contact Center Automation']"
Data Science Foundations: Statistical Inference,"data science foundations, statistical inference","['Data Science Foundations', 'Data Science Foundations', 'Foundations of Data Science Course by Google', 'Free Data Science Foundations Course', 'Get Started with Data Science Foundations', 'Data Science Foundations', 'IBM - Data Science Foundations Professional Certificate', 'Data Science Fundamentals', 'Data Science Foundation', 'Data Science Courses | Harvard University']"
Pricing Strategy Optimization,pricing strategy optimization,"['The Ultimate Guide to Price Optimization', 'How to use price optimization to generate more revenue', 'Pricing Strategy Optimization Specialization', 'Product Price Optimizations: How to Handle Them', 'How To Optimize Your Pricing Strategy For Maximum Profit', 'How Optimizing Your Prices Improves Revenue Generation', 'How Machine Learning is reshaping Price Optimization', 'Price Optimization Models & Techniques: An Introduction', 'Pricing Strategy Optimization Specialization - Online Learning']"
Business English Communication Skills,business english communication skills,"['Business English Communication Skills Specialization', 'Business English Communication Skills - UW IELP', 'Business English | LearnEnglish', 'Communicating in Business English - Phrases', 'Grammar & ...', 'Communication', 'How to Improve Your Communication Skills in English | NU', 'How to improve your business English communication skills.', 'Business English']"
Six Sigma Green Belt,six sigma green belt,"['Six Sigma Green Belt Certification', 'Six Sigma Green Belt Certification - Get CSSGB Certified', 'Green Belt Certification | IASSC for Six Sigma Credentialing', 'Everything You Need to Know About Six Sigma Certifications', 'Lean Six Sigma Green Belt Certification', 'Six Sigma Green Belt Specialization [4 courses] (USG)', 'Lean Six Sigma Green Belt Certification and Training', 'Lean Six Sigma Green Belt E-Learning', 'Lean Six Sigma Certification Online', 'Certification Price vs ...']"
Coding for Everyone: C and C++,"c ++, c, everyone, coding","['C++ Introduction', 'CPlusPlus', 'C++', 'C++ Programming Language', 'C++ Tutorial', 'Learn C++', 'Is ""The C++ Programming Language', 'Fourth Edition"" still ...', 'R/cpp', 'C (programming language)']"
Health Informatics,health informatics,"['What is Health Informatics?', 'What Is Health Informatics? Definition + How to Get Started', 'What Exactly is Health Informatics?', 'Master of Health Informatics and Health Information ...', 'Health Informatics | UC Davis Health', ""Master's in Health Informatics (MSHI) Online"", 'Informatics: Research and Practice | AMIA', 'Health informatics']"
Excel Skills for Data Analytics and Visualization,"excel skills, data analytics, visualization","['Excel video training', '13 advanced Excel skills for business', '10 Advanced Excel Skills You Need to Succeed Today', '5 Basic Excel Skills and How to Include Them in Your ...', 'What Excel Skills Are Employers Looking For?', 'How To Include Excel Skills on Your Resume', '8 Advanced Excel Skills to Boost Productivity and Proficiency', '20 Must-Have Excel Skills for Professionals in 2024', 'Mastering Excel: Must-Have Skills for Everyone', 'Data Analytics: What It Is']"
Microsoft Azure Data Fundamentals DP-900 Exam Prep,"microsoft azure data fundamentals dp, 900 exam prep","['Microsoft Certified: Azure Data Fundamentals - Certifications', 'Course DP-900T00-A: Microsoft Azure Data Fundamentals', 'Microsoft Azure Data Fundamentals DP-900 Exam Prep ...', 'Study guide for Exam DP-900: Microsoft Azure Data ...', 'Prepare for the Azure Data Fundamentals (DP-900) ...', 'DP-900: Microsoft Azure Data Fundamentals (Feb 2024 ...', 'Microsoft Azure Data Fundamentals (DP-900T00)', 'I attended microsoft Azure Data fundamentals training a ...', 'Microsoft Certified: Azure Data Fundamentals', 'Study guide for Exam MS-900: Microsoft 365 Fundamentals']"
Advanced Data Science with IBM,"advanced data science, ibm","['Advanced Data Science with IBM Specialization', 'Advanced Data Science', 'Advanced Data Science Courses for Expert Skills [2024]', 'Advanced Data Science Option | UW Chemical Engineering', 'Advanced Data Science Certificate Program - Northwestern SPS', 'Advanced Data Sciences', 'What Is Advanced Analytics?', 'Welcome to Advanced Data Science', 'Badge: Advanced Data Science Specialization', 'IBM - United States']"
